sentence,start,end,duration
 Let me show you some images of what I consider to be the cities of tomorrow. ,24.858,28.858,4.0
"So, that's Kibera, the largest squatter community in Nairobi. ",28.858,37.858,8.999999999999996
" This is the squatter community in Sanjay Gandhi National Park in Bombay, India, what's called Mumbai these days. ",38.858,47.858,9.0
" This is Hosinia, the largest and most urbanized favela in Rio de Janeiro. ",47.858,53.858,6.0
" And this is Sultanbelyi, which is one of the largest squatter communities in Istanbul. ",53.858,59.858,6.0
" They are what I consider to be the cities of tomorrow, the new urban world. ",62.858,66.858,4.000000000000007
" Now, why do I say that?  To tell you about that I have to talk about this fellow here, his name is Julius. ",66.858,73.858,7.0
And I met Julius the last week that I was living in Kibera. ,73.858,78.858,5.0
" So, I had been there almost three months,  and I was touring around the city going to different squatter areas  and Julius was tagging along, and he was bug eyed  and at certain points we were walking around,  he grabbed my hand for support, which is something most Kenyans would never consider doing. ",78.858,96.858,18.0
They're very polite and they don't get so forward so quickly. ,96.858,101.858,5.0
" And I found out later that it was Julius' first day in Nairobi, and he's one of many. ",101.858,111.858,10.0
" So, close to 200,000 people a day migrate from the rural to the urban areas. ",111.858,118.858,7.0
" That's, and I'm going to be fair to the statisticians who talked this morning, not almost 1.5 million people a week, ",119.858,125.858,6.0
"but almost 1.4 million people a week but I'm a journalist, ",125.858,128.858,3.0
"and we exaggerate, so almost 1.5 million people a week, ",128.858,132.858,4.0
close to 70 million people a year. ,132.858,135.858,3.0
"And if you do the math, that's 130 people every minute. ",136.858,140.858,4.0
" So, that'll be -- in the 18 minutes that I'm given to talk here, between two and three thousand people will have journeyed to the cities. ",140.858,147.858,7.0
And here are the statistics. ,147.858,150.858,3.0
" Today -- a billion squatters, one in six people on the planet. ",150.858,154.858,4.0
" 2030 -- two billion squatters, one in four people on the planet. ",154.858,159.858,5.0
" And the estimate is that in 2050, there'll be three billion squatters, better than one in three people on earth. ",159.858,166.858,7.0
"So, these are the cities of the future, and we have to engage them. ",166.858,175.858,9.0
" And I was thinking this morning of the good life,  and before I show you the rest of my presentation,  I'm going to violate TED rules here, and I'm going to read you something from my book as quickly as I can. ",175.858,191.858,16.0
 Because I think it says something about reversing our perception of what we think the good life is. ,191.858,200.858,9.0
"So -- ""The hut was made of corrugated metal, set on a concrete pad. ",203.858,208.858,5.0
It was a 10 by 10 cell. ,208.858,211.858,3.0
"Armstrong O'Brian, Jr. shared it with three other men. ",211.858,215.858,4.0
 Armstrong and his friends had no water --  they bought it from a nearby tap owner --  no toilet -- the families in this compound shared a single pit-latrine -- and no sewers or sanitation. ,215.858,227.858,12.0
" They did have electricity,  but it was illegal service tapped from someone else's wires, and could only power one feeble bulb. ",227.858,235.858,8.0
" This was Southland, a small shanty community on the western side of Nairobi, Kenya. ",235.858,240.858,5.0
" But it could've been anywhere in the city, because more than half the city of Nairobi lives like this. ",240.858,246.858,6.0
1.5 million people stuffed into mud or metal huts ,246.858,250.858,4.0
"with no services, no toilets, no rights. ",250.858,253.858,3.0
" ""Armstrong explained the brutal reality of their situation:  they paid 1,500 shillings in rent, about 20 bucks a month,  a relatively high price for a Kenyan shantytown, and they could not afford to be late with the money. ",253.858,266.858,13.0
" 'In case you owe one month, the landlord will come with his henchmen and bundle you out. He will confiscate your things,' Armstrong said. ",266.858,272.85799999999995,5.999999999999943
" 'Not one month, one day,' his roommate Hilary Kibagendi Onsomu,  who was cooking ugali, the spongy white cornmeal concoction that is the staple food in the country, cut into the conversation. ",272.85799999999995,284.85799999999995,12.0
" They called their landlord a Wabenzi, meaning that he is a person who has enough money to drive a Mercedes-Benz. ",284.85799999999995,291.85799999999995,7.0
 Hilary served the ugali with a fry of meat and tomatoes;  the sun slammed down on the thin steel roof; and we perspired as we ate. ,293.85799999999995,301.85799999999995,8.0
" ""After we finished, Armstrong straightened his tie, put on a wool sports jacket, and we headed out into the glare. ",301.85799999999995,308.85799999999995,7.0
 Outside a mound of garbage formed the border between Southland and the adjacent legal neighborhood of Langata. ,308.85799999999995,314.858,6.000000000000057
"It was perhaps eight feet tall, 40 feet long, and 10 feet wide. ",314.858,319.858,5.0
And it was set in a wider watery ooze. ,319.858,323.858,4.0
"As we passed, two boys were climbing the mount Kenya of trash. ",323.858,327.858,4.0
They couldn't have been more than five or six years old. ,327.858,329.85799999999995,1.9999999999999432
" They were barefoot, and with each step their toes sank into the muck sending hundreds of flies scattering from the rancid pile. ",329.85799999999995,337.85799999999995,8.0
"I thought they might be playing King of the Hill, but I was wrong. ",337.85799999999995,341.85799999999995,4.0
" Once atop the pile, one of the boys lowered his shorts, squatted, and defecated. ",341.85799999999995,347.85799999999995,6.0
The flies buzzed hungrily around his legs. ,347.85799999999995,351.85799999999995,4.0
" When 20 families -- 100 people or so -- share a single latrine, a boy pooping on a garbage pile is perhaps no big thing. ",351.85799999999995,360.85799999999995,9.0
 But it stood in jarring contrast  to something Armstrong had said as we were eating -- that he treasured the quality of life in his neighborhood. ,360.85799999999995,368.85799999999995,8.0
"""For Armstrong, Southland wasn't constrained by its material conditions. ",368.85799999999995,373.858,5.000000000000057
" Instead, the human spirit radiated out  from the metal walls and garbage heaps to offer something no legal neighborhood could: freedom. ",373.858,382.858,9.0
"'This place is very addictive,' he had said. ",382.858,385.858,3.0
"'It's a simple life, but nobody is restricting you. ",385.858,388.858,3.0
