sentence,start,end,duration,talks_id
We are at a remarkable moment in time. ,25.131,29.156,4.025,2093
 We face over the next two decades  two fundamental transformations  that will determine whether the next 100 years is the best of centuries or the worst of centuries. ,29.156,41.385,12.229,2093
Let me illustrate with an example. ,41.385,44.107,2.722,2093
 I first visited Beijing 25 years ago to teach at the People's University of China. ,44.107,50.407,6.3,2093
" China was getting serious about market economics  and about university education, so they decided to call in the foreign experts. ",50.407,60.173,9.766,2093
" Like most other people, I moved around Beijing by bicycle. ",60.173,64.594,4.421,2093
" Apart from dodging the occasional vehicle, it was a safe and easy way to get around. ",64.594,70.095,5.501,2093
 Cycling in Beijing now is a completely different prospect. ,70.095,74.28,4.185,2093
The roads are jammed by cars and trucks. ,74.28,77.423,3.143,2093
 The air is dangerously polluted from the burning of coal and diesel. ,77.423,82.834,5.411,2093
" When I was there last in the spring,  there was an advisory for people of my age ?? over 65 ??to stay indoors and not move much. ",82.834,93.049,10.215,2093
 How did this come about?  It came from the way in which Beijing has grown as a city. ,93.049,99.668,6.619,2093
" It's doubled over those 25 years, more than doubled, from 10 million to 20 million. ",99.668,104.304,4.636,2093
" It's become a sprawling urban area  dependent on dirty fuel, dirty energy, particularly coal. ",104.304,112.179,7.875,2093
" China burns half the world's coal each year,  and that's why, it is a key reason why,  it is the world's largest emitter of greenhouse gases. ",112.179,125.307,13.128,2093
" At the same time, we have to recognize that in that period China has grown remarkably. ",125.307,130.605,5.298,2093
It has become the world's second largest economy. ,130.605,133.046,2.441,2093
 Hundreds of millions of people have been lifted out of poverty. ,133.046,136.68,3.634,2093
That's really important. ,136.68,138.761,2.081,2093
" But at the same time, the people of China  are asking the question:  What's the value of this growth  if our cities are unlivable?  They've analyzed, diagnosed  that this is an unsustainable path of growth and development. ",138.761,154.161,15.4,2093
China's planning to scale back coal. ,154.161,156.49,2.329,2093
It's looking to build its cities in different ways. ,156.49,162.351,5.861,2093
" Now, the growth of China  is part of a dramatic change, fundamental change, in the structure of the world economy. ",162.351,170.675,8.324,2093
" Just 25 years ago, the developing countries,  the poorer countries of the world,  were, notwithstanding being the vast majority of the people, they accounted for only about a third of the world's output. ",170.675,183.028,12.353,2093
" Now it's more than half;  25 years from now, it will probably be two thirds  from the countries that we saw 25 years ago as developing. ",183.028,192.124,9.096,2093
That's a remarkable change. ,192.124,193.722,1.598,2093
" It means that most countries around the world,  rich or poor, are going to be facing  the two fundamental transformations that I want to talk about and highlight. ",193.722,203.348,9.626,2093
" Now, the first of these transformations  is the basic structural change  of the economies and societies  that I've already begun to illustrate through the description of Beijing. ",203.348,215.248,11.9,2093
Fifty percent now in urban areas. ,215.248,218.207,2.959,2093
That's going to go to 70 percent in 2050. ,218.207,221.818,3.611,2093
" Over the next two decades, we'll see  the demand for energy rise by 40 percent,  and the growth in the economy and in the population  is putting increasing pressure on our land, on our water and on our forests. ",221.818,237.814,15.996,2093
This is profound structural change. ,237.814,241.099,3.285,2093
" If we manage it in a negligent  or a shortsighted way,  we will create waste, pollution, congestion, destruction of land and forests. ",241.099,252.709,11.61,2093
" If we think of those three areas that I have illustrated  with my numbers ??cities, energy, land ?? if we manage all that badly,  then the outlook for the lives and livelihoods  of the people around the world would be poor and damaged. ",252.709,267.524,14.815,2093
" And more than that,  the emissions of greenhouse gases would rise, with immense risks to our climate. ",267.524,276.535,9.011,2093
 Concentrations of greenhouse gases  in the atmosphere are already higher than they've been for millions of years. ,276.535,285.134,8.599,2093
" If we go on increasing those concentrations,  we risk temperatures over the next century or so  that we have not seen on this planet for tens of millions of years. ",285.134,296.968,11.834,2093
" We've been around as Homo sapiens ?? that's a rather generous definition, sapiens ??for perhaps a quarter of a million years, a quarter of a million.",296.968,305.068,8.1,2093
 We risk temperatures we haven't seen for tens of millions of years over a century. ,305.068,311.038,5.97,2093
 That would transform the relationship between human beings and the planet. ,311.038,317.337,6.299,2093
" It would lead to changing deserts,  changing rivers, changing patterns of hurricanes,  changing sea levels,  hundreds of millions of people,  perhaps billions of people who would have to move,  and if we've learned anything from history, that means severe and extended conflict. ",317.337,336.523,19.186,2093
And we couldn't just turn it off. ,336.523,338.401,1.878,2093
You can't make a peace treaty with the planet. ,338.401,340.831,2.43,2093
You can't negotiate with the laws of physics. ,340.831,343.058,2.227,2093
You're in there. You're stuck. ,343.058,344.773,1.715,2093
" Those are the stakes we're playing for,  and that's why we have to make this second transformation, the climate transformation, and move to a low-carbon economy. ",344.773,353.194,8.421,2093
" Now, the first of these transformations is going to happen anyway. ",353.194,356.653,3.459,2093
" We have to decide whether to do it well or badly, the economic, or structural, transformation. ",356.653,361.32,4.667,2093
" But the second of the transformations, the climate transformations, we have to decide to do. ",361.32,367.324,6.004,2093
 Those two transformations face us in the next two decades. ,367.324,371.716,4.392,2093
 The next two decades are decisive for what we have to do. ,371.716,377.644,5.928,2093
" Now, the more I've thought about this,  the two transformations coming together,  the more I've come to realize that this is an enormous opportunity. ",377.644,385.766,8.122,2093
 It's an opportunity which we can use or it's an opportunity which we can lose. ,385.766,391.39,5.624,2093
