sentence,start,end,duration,talks_id
We are at a remarkable moment in time. ,25.131,29.156,4.024999999999999,2093
 We face over the next two decades  two fundamental transformations  that will determine whether the next 100 years is the best of centuries or the worst of centuries. ,29.156,41.385,12.229000000000001,2093
Let me illustrate with an example. ,41.385,44.107,2.7220000000000013,2093
 I first visited Beijing 25 years ago to teach at the People's University of China. ,44.107,50.407,6.299999999999998,2093
" China was getting serious about market economics  and about university education, so they decided to call in the foreign experts. ",50.407,60.173,9.766000000000004,2093
" Like most other people, I moved around Beijing by bicycle. ",60.173,64.59400000000001,4.421000000000007,2093
" Apart from dodging the occasional vehicle, it was a safe and easy way to get around. ",64.59400000000001,70.095,5.5009999999999915,2093
 Cycling in Beijing now is a completely different prospect. ,70.095,74.28,4.185000000000001,2093
The roads are jammed by cars and trucks. ,74.28,77.423,3.1430000000000007,2093
 The air is dangerously polluted from the burning of coal and diesel. ,77.423,82.834,5.411000000000001,2093
" When I was there last in the spring,  there was an advisory for people of my age —  over 65 — to stay indoors and not move much. ",82.834,93.04899999999999,10.215000000000003,2093
 How did this come about?  It came from the way in which Beijing has grown as a city. ,93.04899999999999,99.66799999999999,6.619,2093
" It's doubled over those 25 years, more than doubled, from 10 million to 20 million. ",99.66799999999999,104.304,4.635999999999996,2093
" It's become a sprawling urban area  dependent on dirty fuel, dirty energy, particularly coal. ",104.304,112.179,7.875,2093
" China burns half the world's coal each year,  and that's why, it is a key reason why,  it is the world's largest emitter of greenhouse gases. ",112.179,125.307,13.128,2093
" At the same time, we have to recognize that in that period China has grown remarkably. ",125.307,130.605,5.2979999999999885,2093
It has become the world's second largest economy. ,130.605,133.046,2.4410000000000025,2093
 Hundreds of millions of people have been lifted out of poverty. ,133.046,136.68,3.634000000000015,2093
That's really important. ,136.68,138.761,2.080999999999989,2093
" But at the same time, the people of China  are asking the question:  What's the value of this growth  if our cities are unlivable?  They've analyzed, diagnosed  that this is an unsustainable path of growth and development. ",138.761,154.161,15.400000000000004,2093
China's planning to scale back coal. ,154.161,156.49,2.329000000000008,2093
It's looking to build its cities in different ways. ,156.49,162.351,5.860999999999991,2093
" Now, the growth of China  is part of a dramatic change, fundamental change, in the structure of the world economy. ",162.351,170.675,8.324000000000012,2093
" Just 25 years ago, the developing countries,  the poorer countries of the world,  were, notwithstanding being the vast majority of the people, they accounted for only about a third of the world's output. ",170.675,183.028,12.35299999999998,2093
" Now it's more than half;  25 years from now, it will probably be two thirds  from the countries that we saw 25 years ago as developing. ",183.028,192.12400000000002,9.096000000000004,2093
That's a remarkable change. ,192.12400000000002,193.722,1.5980000000000132,2093
" It means that most countries around the world,  rich or poor, are going to be facing  the two fundamental transformations that I want to talk about and highlight. ",193.722,203.34799999999998,9.626000000000003,2093
" Now, the first of these transformations  is the basic structural change  of the economies and societies  that I've already begun to illustrate through the description of Beijing. ",203.34799999999998,215.248,11.900000000000004,2093
Fifty percent now in urban areas. ,215.248,218.207,2.9589999999999748,2093
That's going to go to 70 percent in 2050. ,218.207,221.81799999999998,3.6110000000000175,2093
" Over the next two decades, we'll see  the demand for energy rise by 40 percent,  and the growth in the economy and in the population  is putting increasing pressure on our land, on our water and on our forests. ",221.81799999999998,237.81400000000002,15.995999999999981,2093
This is profound structural change. ,237.81400000000002,241.099,3.285000000000025,2093
" If we manage it in a negligent  or a shortsighted way,  we will create waste, pollution, congestion, destruction of land and forests. ",241.099,252.709,11.609999999999983,2093
" If we think of those three areas that I have illustrated  with my numbers — cities, energy, land —  if we manage all that badly,  then the outlook for the lives and livelihoods  of the people around the world would be poor and damaged. ",252.709,267.524,14.814999999999998,2093
" And more than that,  the emissions of greenhouse gases would rise, with immense risks to our climate. ",267.524,276.535,9.010999999999967,2093
 Concentrations of greenhouse gases  in the atmosphere are already higher than they've been for millions of years. ,276.535,285.134,8.598999999999991,2093
" If we go on increasing those concentrations,  we risk temperatures over the next century or so  that we have not seen on this planet for tens of millions of years. ",285.134,296.968,11.834000000000005,2093
