start,end,sentence1,sentence2
00:00:12.677,00:00:14.237,Take a look at this work of art.,
00:00:16.136,00:00:17.655,What is it that you see?,
00:00:19.022,00:00:22.673,"At first glance, it looks",to be a grandfather clock
00:00:22.697,00:00:24.440,with a sheet thrown over it,
00:00:24.464,00:00:26.360,and a rope tied around the center.,
00:00:27.615,00:00:30.663,But a first look always warrants a second.,
00:00:31.549,00:00:32.699,Look again.,
00:00:33.709,00:00:34.859,What do you see now?,
00:00:35.788,00:00:37.701,"If you look more closely,",
00:00:37.725,00:00:41.875,you'll realize,that this entire work of art
00:00:41.899,00:00:44.427,is made from one piece of sculpture.,
00:00:44.803,00:00:46.396,"There is no clock,",
00:00:46.420,00:00:47.960,"there is no rope,",
00:00:47.984,00:00:49.414,and there is no sheet.,
00:00:49.980,00:00:53.763,It is one piece of bleached,Honduras mahogany.
00:00:54.927,00:00:56.617,Now let me be clear:,
00:00:56.641,00:01:01.159,this exercise was not,about looking at sculpture.
00:01:02.467,00:01:03.617,It's about looking,
00:01:04.398,00:01:09.173,and understanding,"that looking closely can save a life,"
00:01:09.197,00:01:10.667,change your company,
00:01:10.691,00:01:14.954,and even help you understand,why your children behave the way they do.
00:01:15.532,00:01:18.366,It's a skill that I call,"visual intelligence,"
00:01:18.390,00:01:20.969,"and I use works of art to teach everybody,",
00:01:20.993,00:01:25.682,from everyday people,"to those for whom looking is the job,"
00:01:25.706,00:01:30.471,like Navy SEALs and homicide,detectives and trauma nurses.
00:01:31.422,00:01:35.228,The fact is that no matter how skilled,"you might be at looking,"
00:01:35.252,00:01:38.566,you still have so much,to learn about seeing.
00:01:38.590,00:01:43.019,Because we all think we get it,"in a first glance and a sudden flash,"
00:01:43.043,00:01:47.534,but the real skill is in understanding,how to look slowly
00:01:47.558,00:01:49.433,and how to look more carefully.,
00:01:49.457,00:01:51.829,The talent is in remembering --,
00:01:51.853,00:01:55.906,in the crush of the daily urgencies,that demand our attention --
00:01:55.930,00:01:59.983,to step back and look through,those lenses to help us see
00:02:00.007,00:02:01.760,what we've been missing all along.,
00:02:02.984,00:02:06.196,So how can looking at painting,and sculpture help?
00:02:06.660,00:02:08.841,Because art is a powerful tool.,
00:02:10.145,00:02:14.729,It's a powerful tool,that engages both sight and insight
00:02:14.753,00:02:19.236,and reframes our understanding,of where we are and what we see.
00:02:20.493,00:02:23.534,Here's an example of a work of art,
00:02:23.558,00:02:26.487,that reminded me,that visual intelligence --
00:02:26.511,00:02:28.461,it's an ongoing learning process,
00:02:28.485,00:02:30.537,and one that really is never mastered.,
00:02:31.079,00:02:34.869,"I came across this quiet,","seemingly abstract painting,"
00:02:34.893,00:02:37.196,"and I had to step up to it twice,",
00:02:37.220,00:02:38.436,"even three times,",
00:02:38.460,00:02:41.522,to understand why it resonated so deeply.,
00:02:42.104,00:02:46.414,"Now, I've seen the Washington Monument","in person thousands of times,"
00:02:46.438,00:02:50.412,well aware of the change in the color,"of marble a third of the way up,"
00:02:50.436,00:02:53.636,but I had never really looked,at it out of context
00:02:53.660,00:02:55.593,or truly as a work of art.,
00:02:56.628,00:03:02.492,"And here, Georgia O'Keeffe's painting",of this architectural icon made me realize
00:03:02.516,00:03:04.706,"that if we put our mind to it,",
00:03:04.730,00:03:07.892,it's possible to see everyday things,
00:03:07.916,00:03:10.859,in a wholly new,and eye-opening perspective.
00:03:11.821,00:03:15.909,"Now, there are some skeptics that believe",that art just belongs in an art museum.
00:03:17.807,00:03:21.573,They believe that it has no practical,use beyond its aesthetic value.
00:03:21.597,00:03:24.138,I know who they are,in every audience I teach.
00:03:24.162,00:03:26.907,"Their arms are crossed,","their legs are crossed,"
00:03:26.931,00:03:28.583,"their body language is saying,",
00:03:28.607,00:03:31.180,"""What am I going to learn",from this lady who talks fast
00:03:31.204,00:03:33.145,"about painting and sculpture?""",
00:03:34.833,00:03:37.299,So how do I make it relevant for them?,
00:03:39.036,00:03:41.267,"I ask them to look at this work of art,",
00:03:41.291,00:03:43.552,like this portrait by Kumi Yamashita.,
00:03:44.346,00:03:46.364,"And I ask them to step in close,",
00:03:46.388,00:03:48.609,"and even closer still,",
00:03:48.633,00:03:50.870,and while they're looking,"at the work of art,"
00:03:50.894,00:03:53.594,they need to be asking questions,about what they see.
00:03:54.299,00:03:56.041,"And if they ask the right questions,",
00:03:56.065,00:03:57.683,"like, ""What is this work of art?",
00:03:57.707,00:03:59.482,Is it a painting? Is it a sculpture?,
00:03:59.506,00:04:00.656,"What is it made of?"" ...",
00:04:00.680,00:04:03.909,they will find out,that this entire work of art
00:04:03.933,00:04:05.677,"is made of a wooden board,",
00:04:05.701,00:04:07.330,"10,000 nails",
