sentence,start,end,duration,talks_id
지난 며칠동안 ,24.858,26.858,2.0,21
오늘 강연을 준비했는데요 ,26.858,28.858,2.0,21
시간이 갈수록 점점 더 초조해졌어요 ,28.858,30.858,1.9999999999999964,21
이렇게 훌륭한 분들과 같은 자리에 서야 한다는 것과 ,30.858,33.858000000000004,3.0,21
무엇을 얘기해야 하는지 걱정스러웠거든요 ,33.858000000000004,35.858000000000004,2.0,21
제가 처음으로 투표한 알 고어씨와 같은 연단에 서야한다는 것도 그렇고.. ,35.858000000000004,38.858000000000004,3.0,21
그리고 -- ,39.858000000000004,41.858000000000004,2.0,21
"그리고, 지금도 엄청나게 긴장되는데요.. 왜냐면.. ",44.858000000000004,46.858000000000004,2.0,21
크리스씨가 저기 연단에 앉아있을 줄 몰랐거든요 ,46.858000000000004,48.858000000000004,2.0,21
그래서 더욱 긴장되네요 ,48.858000000000004,50.858000000000004,2.0,21
그래서 전 일단 가족을 떠올려 봤습니다 ,50.858000000000004,52.858000000000004,2.0,21
"저희 아버지, 할아버지, ",52.858000000000004,55.858000000000004,3.0,21
"그리고 증조할아버지,, ",55.858000000000004,57.858000000000004,2.0,21
그리곤 알게 되었어요 ,57.858000000000004,59.858000000000004,2.0,21
우리 가문에 이렇게 TED와 관련있는 ,59.858000000000004,61.858000000000004,2.0,21
사람들이 많다는 것을요-- ,61.858000000000004,63.858000000000004,2.0,21
제가 바로 ,64.858,66.858,2.0,21
그 분들의 피를 물려받은거죠 ,66.858,68.858,2.0,21
그럼 전 누굴까요? ,68.858,70.858,2.0,21
"크리스씨가 이미 말했듯이, 남편과 함께 회사를 만들었는데요 ",70.858,73.858,3.0,21
세계적으로 약 125명 정도가 일하고 있습니다 ,74.858,76.858,2.0,21
책을 보다 보면 ,76.858,78.858,2.0,21
아마 이 그림을 보실 수 있을거에요 ,78.858,80.858,2.0,21
사실 전 이 그림에 충격을 받았는데요 ,81.858,84.85799999999999,3.0,21
어제 강연에서 그래프를 이용한 멋진 발표들을 보고 ,87.85799999999999,90.85799999999999,3.0,21
저도 좋은 인상을 주고 싶어서 ,90.85799999999999,92.85799999999999,2.0,21
움직이는 그래프를 만들어봤습니다 ,92.85799999999999,95.85799999999999,3.0,21
제 얼굴 생김새에 관한 그래프에요 ,95.85799999999999,98.85799999999999,3.0,21
이 별스런 내용은 일단 넘어가구요 ,101.85799999999999,103.85799999999999,2.0,21
이 슬라이드는 과학에 관한 것입니다. 수학이기도 하구요. ,103.85799999999999,105.85799999999999,2.0,21
과학 그리고 유전학에 관한 내용입니다 ,105.85799999999999,107.85799999999999,2.0,21
이 분은 저의 할머니입니다. 제 입은 이분에게서 물려받았나봐요 ,107.85799999999999,110.85799999999999,3.0,21
"그러니까,, ",112.85799999999999,114.85799999999999,2.0,21
전 블로거입니다. 여기 계신 많은 분들에게는 ,114.85799999999999,116.85799999999999,2.0,21
좀 다른 의미 일 수도 있겠네요. ,116.85799999999999,118.85799999999999,2.0,21
아마 '크립토나이트 자물쇠' 얘기를 들어 보셨을텐데요 ,118.85799999999999,121.85799999999999,3.0,21
한때 난리였죠. 어떤 블로거가 이 크립토나이트 자물쇠를 ,121.85799999999999,124.85799999999999,3.0,21
볼펜하나만으로 여는 방법에 관한 글을 올린거에요 ,124.85799999999999,127.85799999999999,3.0,21
"그게 사방에 알려져서, 크립토나이트사는 ",127.85799999999999,130.858,3.0,21
